Date,Price
2021-08-15,9750.0
2021-08-16,9750.0
2021-08-17,9750.0
2021-08-18,9750.0
2021-08-19,9750.0
2021-08-20,9750.0
2021-08-21,9750.0
2021-08-22,9750.0
2021-08-23,9750.0
2021-08-24,9750.0
2021-08-25,9750.0
2021-08-26,9750.0
2021-08-27,9750.0
2021-08-28,9750.0
2021-08-29,9750.0
2021-08-30,9750.0
2021-08-31,9750.0
2021-09-01,9750.0
2021-09-02,9750.0
2021-09-03,9750.0
2021-09-04,9750.0
2021-09-05,9750.0
2021-09-06,9750.0
2021-09-07,9750.0
2021-09-08,9750.0
2021-09-09,9750.0
2021-09-10,9750.0
2021-09-11,9750.0
2021-09-12,9750.0
2021-09-13,9750.0
2021-09-14,9750.0
2021-09-15,9750.0
2021-09-16,9750.0
2021-09-17,9750.0
2021-09-18,9750.0
2021-09-19,9750.0
2021-09-20,9750.0
2021-09-21,9750.0
2021-09-22,9750.0
2021-09-23,9750.0
2021-09-24,9750.0
2021-09-25,9750.0
2021-09-26,9750.0
2021-09-27,9750.0
2021-09-28,9750.0
2021-09-29,9750.0
2021-09-30,9750.0
2021-10-01,9750.0
2021-10-02,9750.0
2021-10-03,9750.0
2021-10-04,9750.0
2021-10-05,9750.0
2021-10-06,9750.0
2021-10-07,9750.0
2021-10-08,9750.0
2021-10-09,9750.0
2021-10-10,9750.0
2021-10-11,9750.0
2021-10-12,9750.0
2021-10-13,9750.0
2021-10-14,9750.0
2021-10-15,9750.0
2021-10-16,9750.0
2021-10-17,9750.0
2021-10-18,9750.0
2021-10-19,9750.0
2021-10-20,9750.0
2021-10-21,9750.0
2021-10-22,9750.0
2021-10-23,9750.0
2021-10-24,9750.0
2021-10-25,9750.0
2021-10-26,9750.0
2021-10-27,9750.0
2021-10-28,9750.0
2021-10-29,9750.0
2021-10-30,9750.0
2021-10-31,9750.0
2021-11-01,9750.0
2021-11-02,9750.0
2021-11-03,9750.0
2021-11-04,9750.0
2021-11-05,9750.0
2021-11-06,9750.0
2021-11-07,9750.0
2021-11-08,9750.0
2021-11-09,9750.0
2021-11-10,9750.0
2021-11-11,9750.0
2021-11-12,9750.0
2021-11-13,9750.0
2021-11-14,9750.0
2021-11-15,9750.0
2021-11-16,9750.0
2021-11-17,9750.0
2021-11-18,9750.0
2021-11-19,9750.0
2021-11-20,9750.0
2021-11-21,9750.0
2021-11-22,9750.0
2021-11-23,9750.0
2021-11-24,9750.0
2021-11-25,9750.0
2021-11-26,9750.0
2021-11-27,9750.0
2021-11-28,9750.0
2021-11-29,9750.0
2021-11-30,9750.0
2021-12-01,9750.0
2021-12-02,9750.0
2021-12-03,9750.0
2021-12-04,9750.0
2021-12-05,9750.0
2021-12-06,9750.0
2021-12-07,9750.0
2021-12-08,9750.0
2021-12-09,9750.0
2021-12-10,9750.0
2021-12-11,9750.0
2021-12-12,9750.0
2021-12-13,9750.0
2021-12-14,9750.0
2021-12-15,9750.0
2021-12-16,9750.0
2021-12-17,9750.0
2021-12-18,9750.0
2021-12-19,9750.0
2021-12-20,9750.0
2021-12-21,9750.0
2021-12-22,9750.0
2021-12-23,9750.0
2021-12-24,9750.0
2021-12-25,9750.0
2021-12-26,9750.0
2021-12-27,9750.0
2021-12-28,9750.0
2021-12-29,9750.0
2021-12-30,9750.0
2021-12-31,9750.0
2022-01-01,9750.0
2022-01-02,9750.0
2022-01-03,9750.0
2022-01-04,9750.0
2022-01-05,9750.0
2022-01-06,9750.0
2022-01-07,9750.0
2022-01-08,9750.0
2022-01-09,9750.0
2022-01-10,9750.0
2022-01-11,9750.0
2022-01-12,9750.0
2022-01-13,9750.0
2022-01-14,9750.0
2022-01-15,9750.0
2022-01-16,9750.0
2022-01-17,9750.0
2022-01-18,9750.0
2022-01-19,9750.0
2022-01-20,9750.0
2022-01-21,9750.0
2022-01-22,9750.0
2022-01-23,9750.0
2022-01-24,9750.0
2022-01-25,9750.0
2022-01-26,9750.0
2022-01-27,9750.0
2022-01-28,9750.0
2022-01-29,9750.0
2022-01-30,9750.0
2022-01-31,9750.0
2022-02-01,9750.0
2022-02-02,9750.0
2022-02-03,9750.0
2022-02-04,9750.0
2022-02-05,9750.0
2022-02-06,9750.0
2022-02-07,9750.0
2022-02-08,9750.0
2022-02-09,9750.0
2022-02-10,9750.0
2022-02-11,9750.0
2022-02-12,9750.0
2022-02-13,9750.0
2022-02-14,9750.0
2022-02-15,9750.0
2022-02-16,9750.0
2022-02-17,9750.0
2022-02-18,9750.0
2022-02-19,9750.0
2022-02-20,9750.0
2022-02-21,9750.0
2022-02-22,9750.0
2022-02-23,9750.0
2022-02-24,9750.0
2022-02-25,9750.0
2022-02-26,9750.0
2022-02-27,9750.0
2022-02-28,9750.0
2022-03-01,9750.0
2022-03-02,9750.0
2022-03-03,9750.0
2022-03-04,9750.0
2022-03-05,9750.0
2022-03-06,9750.0
2022-03-07,9750.0
2022-03-08,9750.0
2022-03-09,9750.0
2022-03-10,9750.0
2022-03-11,9750.0
2022-03-12,9750.0
2022-03-13,9750.0
2022-03-14,9750.0
2022-03-15,9750.0
2022-03-16,9750.0
2022-03-17,9750.0
2022-03-18,9750.0
2022-03-19,9750.0
2022-03-20,9750.0
2022-03-21,9750.0
2022-03-22,9750.0
2022-03-23,9750.0
2022-03-24,9750.0
2022-03-25,9750.0
2022-03-26,9750.0
2022-03-27,9750.0
2022-03-28,9750.0
2022-03-29,9750.0
2022-03-30,9750.0
2022-03-31,9750.0
2022-04-01,9750.0
2022-04-02,9750.0
2022-04-03,9750.0
2022-04-04,9750.0
2022-04-05,9750.0
2022-04-06,9750.0
2022-04-07,9750.0
2022-04-08,9750.0
2022-04-09,9750.0
2022-04-10,9750.0
2022-04-11,9750.0
2022-04-12,9750.0
2022-04-13,9750.0
2022-04-14,9750.0
2022-04-15,9750.0
2022-04-16,9750.0
2022-04-17,9750.0
2022-04-18,9750.0
2022-04-19,9750.0
2022-04-20,9750.0
2022-04-21,9750.0
2022-04-22,9750.0
2022-04-23,9750.0
2022-04-24,9750.0
2022-04-25,9750.0
2022-04-26,9750.0
2022-04-27,9750.0
2022-04-28,9750.0
2022-04-29,9750.0
2022-04-30,9750.0
2022-05-01,9750.0
2022-05-02,9750.0
2022-05-03,9750.0
2022-05-04,9750.0
2022-05-05,9750.0
2022-05-06,9750.0
2022-05-07,9750.0
2022-05-08,9750.0
2022-05-09,9750.0
2022-05-10,9750.0
2022-05-11,9750.0
2022-05-12,9750.0
2022-05-13,9750.0
2022-05-14,9750.0
2022-05-15,9750.0
2022-05-16,9750.0
2022-05-17,9750.0
2022-05-18,9750.0
2022-05-19,9750.0
2022-05-20,9750.0
2022-05-21,9750.0
2022-05-22,9750.0
2022-05-23,9750.0
2022-05-24,9750.0
2022-05-25,9750.0
2022-05-26,9750.0
2022-05-27,9750.0
2022-05-28,9750.0
2022-05-29,9750.0
2022-05-30,9750.0
2022-05-31,9750.0
2022-06-01,9750.0
2022-06-02,9750.0
2022-06-03,9750.0
2022-06-04,9750.0
2022-06-05,9750.0
2022-06-06,9750.0
2022-06-07,9750.0
2022-06-08,9750.0
2022-06-09,9750.0
2022-06-10,9757.142857142857
2022-06-11,9764.285714285714
2022-06-12,9771.42857142857
2022-06-13,9778.57142857143
2022-06-14,9785.714285714286
2022-06-15,9792.857142857143
2022-06-16,9800.0
2022-06-17,9807.142857142857
2022-06-18,9814.285714285714
2022-06-19,9821.42857142857
2022-06-20,9828.57142857143
2022-06-21,9835.714285714286
2022-06-22,9842.857142857143
2022-06-23,9850.0
2022-06-24,9857.142857142857
2022-06-25,9864.285714285714
2022-06-26,9871.42857142857
2022-06-27,9878.57142857143
2022-06-28,9885.714285714286
2022-06-29,9892.857142857143
2022-06-30,9900.0
2022-07-01,9907.142857142857
2022-07-02,9914.285714285714
2022-07-03,9921.42857142857
2022-07-04,9928.57142857143
2022-07-05,9935.714285714286
2022-07-06,9942.857142857143
2022-07-07,9950.0
2022-07-08,9957.142857142857
2022-07-09,9964.285714285714
2022-07-10,9971.42857142857
2022-07-11,9978.57142857143
2022-07-12,9985.714285714286
2022-07-13,9992.857142857143
2022-07-14,10000.0
2022-07-15,9750.0
2022-07-16,10000.0
2022-07-17,10000.0
2022-07-18,10000.0
2022-07-19,9750.0
2022-07-20,10000.0
2022-07-21,10000.0
2022-07-22,10000.0
2022-07-23,10000.0
2022-07-24,10000.0
2022-07-25,10000.0
2022-07-26,10000.0
2022-07-27,10000.0
2022-07-28,10000.0
2022-07-29,10000.0
2022-07-30,10000.0
2022-07-31,10000.0
2022-08-01,10000.0
2022-08-02,10000.0
2022-08-03,10000.0
2022-08-04,10000.0
2022-08-05,10000.0
2022-08-06,10000.0
2022-08-07,10000.0
2022-08-08,10000.0
2022-08-09,10000.0
2022-08-10,10000.0
2022-08-11,10000.0
2022-08-12,10000.0
2022-08-13,10000.0
2022-08-14,10000.0
2022-08-15,10000.0
2022-08-16,10000.0
2022-08-17,10000.0
2022-08-18,10000.0
2022-08-19,10000.0
2022-08-20,10000.0
2022-08-21,10000.0
2022-08-22,10000.0
2022-08-23,10000.0
2022-08-24,10000.0
2022-08-25,10000.0
2022-08-26,10000.0
2022-08-27,10000.0
2022-08-28,10000.0
2022-08-29,10000.0
2022-08-30,10000.0
2022-08-31,10000.0
2022-09-01,10000.0
2022-09-02,10000.0
2022-09-03,10000.0
2022-09-04,10000.0
2022-09-05,10000.0
2022-09-06,10000.0
2022-09-07,10000.0
2022-09-08,10000.0
2022-09-09,10000.0
2022-09-10,10000.0
2022-09-11,10000.0
2022-09-12,10000.0
2022-09-13,10000.0
2022-09-14,10000.0
2022-09-15,10000.0
2022-09-16,10000.0
2022-09-17,10000.0
2022-09-18,10000.0
2022-09-19,10000.0
2022-09-20,10500.0
2022-09-21,10500.0
2022-09-22,10500.0
2022-09-23,10500.0
2022-09-24,10000.0
2022-09-25,10000.0
2022-09-26,10500.0
2022-09-27,10500.0
2022-09-28,10500.0
2022-09-29,10500.0
2022-09-30,10500.0
2022-10-01,10500.0
2022-10-02,10500.0
2022-10-03,10500.0
2022-10-04,10500.0
2022-10-05,10500.0
2022-10-06,10500.0
2022-10-07,10500.0
2022-10-08,10500.0
2022-10-09,10500.0
2022-10-10,10500.0
2022-10-11,10500.0
2022-10-12,10500.0
2022-10-13,10500.0
2022-10-14,10500.0
2022-10-15,10500.0
2022-10-16,10500.0
2022-10-17,10500.0
2022-10-18,10500.0
2022-10-19,10500.0
2022-10-20,10500.0
2022-10-21,10500.0
2022-10-22,10500.0
2022-10-23,10500.0
2022-10-24,10500.0
2022-10-25,10500.0
2022-10-26,10500.0
2022-10-27,10500.0
2022-10-28,10500.0
2022-10-29,10500.0
2022-10-30,10500.0
2022-10-31,10500.0
2022-11-01,10500.0
2022-11-02,10500.0
2022-11-03,10500.0
2022-11-04,10500.0
2022-11-05,10500.0
2022-11-06,10500.0
2022-11-07,10500.0
2022-11-08,10500.0
2022-11-09,10500.0
2022-11-10,10500.0
2022-11-11,10500.0
2022-11-12,10500.0
2022-11-13,10500.0
2022-11-14,10500.0
2022-11-15,10500.0
2022-11-16,10500.0
2022-11-17,10500.0
2022-11-18,10500.0
2022-11-19,10500.0
2022-11-20,10500.0
2022-11-21,10500.0
2022-11-22,10500.0
2022-11-23,10500.0
2022-11-24,10500.0
2022-11-25,10500.0
2022-11-26,10500.0
2022-11-27,10500.0
2022-11-28,10500.0
2022-11-29,10500.0
2022-11-30,10500.0
2022-12-01,10500.0
2022-12-02,10500.0
2022-12-03,10500.0
2022-12-04,10500.0
2022-12-05,10500.0
2022-12-06,10500.0
2022-12-07,10500.0
2022-12-08,10500.0
2022-12-09,10500.0
2022-12-10,10500.0
2022-12-11,10500.0
2022-12-12,10500.0
2022-12-13,10500.0
2022-12-14,10500.0
2022-12-15,10500.0
2022-12-16,10500.0
2022-12-17,10500.0
2022-12-18,10500.0
2022-12-19,10500.0
2022-12-20,10500.0
2022-12-21,10500.0
2022-12-22,10500.0
2022-12-23,10500.0
2022-12-24,10500.0
2022-12-25,10500.0
2022-12-26,10500.0
2022-12-27,10500.0
2022-12-28,10500.0
2022-12-29,10500.0
2022-12-30,10500.0
2022-12-31,10500.0
2023-01-01,10500.0
2023-01-02,10500.0
2023-01-03,10500.0
2023-01-04,10500.0
2023-01-05,10500.0
2023-01-06,10500.0
2023-01-07,10500.0
2023-01-08,10500.0
2023-01-09,10500.0
2023-01-10,10500.0
2023-01-11,10500.0
2023-01-12,10500.0
2023-01-13,10500.0
2023-01-14,10500.0
2023-01-15,10500.0
2023-01-16,10500.0
2023-01-17,10500.0
2023-01-18,10500.0
2023-01-19,10500.0
2023-01-20,10500.0
2023-01-21,10500.0
2023-01-22,10500.0
2023-01-23,10500.0
2023-01-24,10500.0
2023-01-25,10500.0
2023-01-26,10500.0
2023-01-27,10500.0
2023-01-28,10500.0
2023-01-29,10500.0
2023-01-30,10500.0
2023-01-31,10500.0
2023-02-01,10500.0
2023-02-02,10500.0
2023-02-03,10500.0
2023-02-04,10500.0
2023-02-05,10500.0
2023-02-06,10500.0
2023-02-07,10500.0
2023-02-08,10500.0
2023-02-09,10500.0
2023-02-10,10500.0
2023-02-11,10500.0
2023-02-12,10500.0
2023-02-13,10500.0
2023-02-14,10500.0
2023-02-15,11000.0
2023-02-16,11000.0
2023-02-17,11000.0
2023-02-18,11000.0
2023-02-19,11000.0
2023-02-20,11000.0
2023-02-21,11000.0
2023-02-22,11000.0
2023-02-23,11000.0
2023-02-24,11000.0
2023-02-25,11000.0
2023-02-26,11000.0
2023-02-27,11000.0
2023-02-28,11000.0
2023-03-01,11000.0
2023-03-02,11000.0
2023-03-03,11000.0
2023-03-04,11000.0
2023-03-05,11000.0
2023-03-06,11000.0
2023-03-07,11000.0
2023-03-08,11000.0
2023-03-09,11000.0
2023-03-10,10800.0
2023-03-11,10800.0
2023-03-12,10800.0
2023-03-13,10800.0
2023-03-14,10800.0
2023-03-15,10800.0
2023-03-16,10800.0
2023-03-17,10800.0
2023-03-18,11100.0
2023-03-19,11100.0
2023-03-20,11100.0
2023-03-21,11100.0
2023-03-22,11100.0
2023-03-23,11100.0
2023-03-24,11100.0
2023-03-25,11100.0
2023-03-26,11100.0
2023-03-27,11100.0
2023-03-28,11100.0
2023-03-29,11100.0
2023-03-30,11100.0
2023-03-31,11100.0
2023-04-01,11100.0
2023-04-02,11100.0
2023-04-03,11100.0
2023-04-04,11100.0
2023-04-05,11100.0
2023-04-06,11100.0
2023-04-07,11100.0
2023-04-08,11100.0
2023-04-09,11100.0
2023-04-10,11100.0
2023-04-11,11100.0
2023-04-12,11100.0
2023-04-13,11100.0
2023-04-14,11100.0
2023-04-15,11100.0
2023-04-16,11100.0
2023-04-17,11100.0
2023-04-18,11100.0
2023-04-19,11100.0
2023-04-20,11100.0
2023-04-21,11100.0
2023-04-22,11100.0
2023-04-23,11100.0
2023-04-24,11100.0
2023-04-25,11100.0
2023-04-26,11100.0
2023-04-27,11100.0
2023-04-28,11100.0
2023-04-29,11100.0
2023-04-30,11100.0
2023-05-01,11100.0
2023-05-02,11100.0
2023-05-03,11500.0
2023-05-04,11500.0
2023-05-05,11500.0
2023-05-06,11500.0
2023-05-07,11500.0
2023-05-08,11500.0
2023-05-09,11500.0
2023-05-10,11500.0
2023-05-11,11500.0
2023-05-12,11500.0
2023-05-13,11500.0
2023-05-14,11500.0
2023-05-15,11500.0
2023-05-16,11500.0
2023-05-17,11500.0
2023-05-18,11500.0
2023-05-19,11500.0
2023-05-20,11500.0
2023-05-21,11500.0
2023-05-22,11500.0
2023-05-23,11500.0
2023-05-24,11500.0
2023-05-25,11500.0
2023-05-26,11500.0
2023-05-27,11500.0
2023-05-28,11500.0
2023-05-29,11500.0
2023-05-30,11500.0
2023-05-31,11500.0
2023-06-01,11500.0
2023-06-02,11500.0
2023-06-03,11500.0
2023-06-04,11500.0
2023-06-05,11500.0
2023-06-06,11500.0
2023-06-07,11500.0
2023-06-08,11500.0
2023-06-09,11500.0
2023-06-10,11500.0
2023-06-11,11500.0
2023-06-12,11500.0
2023-06-13,11500.0
2023-06-14,11500.0
2023-06-15,11500.0
2023-06-16,11500.0
2023-06-17,11500.0
2023-06-18,11500.0
2023-06-19,11500.0
2023-06-20,11500.0
2023-06-21,11500.0
2023-06-22,11500.0
2023-06-23,11500.0
2023-06-24,11500.0
2023-06-25,11500.0
2023-06-26,11500.0
2023-06-27,11500.0
2023-06-28,11500.0
2023-06-29,11500.0
2023-06-30,11500.0
2023-07-01,11500.0
2023-07-02,11500.0
2023-07-03,11500.0
2023-07-04,11500.0
2023-07-05,11500.0
2023-07-06,11500.0
2023-07-07,11500.0
2023-07-08,11500.0
2023-07-09,11500.0
2023-07-10,11500.0
2023-07-11,11500.0
2023-07-12,11500.0
2023-07-13,11500.0
2023-07-14,11500.0
2023-07-15,11500.0
2023-07-16,11500.0
2023-07-17,11500.0
2023-07-18,11500.0
2023-07-19,11500.0
2023-07-20,11500.0
2023-07-21,11500.0
2023-07-22,11500.0
2023-07-23,11500.0
2023-07-24,11500.0
2023-07-25,11500.0
2023-07-26,11500.0
2023-07-27,11500.0
2023-07-28,11500.0
2023-07-29,11500.0
2023-07-30,11500.0
2023-07-31,11500.0
2023-08-01,11500.0
2023-08-02,11500.0
2023-08-03,11500.0
2023-08-04,11500.0
2023-08-05,11500.0
2023-08-06,11500.0
2023-08-07,11500.0
2023-08-08,11500.0
2023-08-09,11500.0
2023-08-10,11500.0
2023-08-11,11500.0
2023-08-12,11500.0
2023-08-13,11500.0
2023-08-14,11500.0
2023-08-15,11500.0
2023-08-16,11500.0
2023-08-17,11500.0
2023-08-18,11500.0
2023-08-19,11500.0
2023-08-20,11500.0
2023-08-21,11500.0
2023-08-22,11500.0
2023-08-23,11500.0
2023-08-24,11500.0
2023-08-25,11500.0
2023-08-26,11500.0
2023-08-27,11500.0
2023-08-28,11500.0
2023-08-29,11500.0
2023-08-30,11500.0
2023-08-31,12200.0
2023-09-01,12200.0
2023-09-02,12200.0
2023-09-03,12500.0
2023-09-04,12200.0
2023-09-05,12200.0
2023-09-06,12200.0
2023-09-07,12200.0
2023-09-08,12200.0
2023-09-09,12200.0
2023-09-10,12200.0
2023-09-11,12200.0
2023-09-12,12200.0
2023-09-13,12200.0
2023-09-14,12200.0
2023-09-15,12200.0
2023-09-16,12200.0
2023-09-17,12200.0
2023-09-18,12200.0
2023-09-19,12200.0
2023-09-20,12200.0
2023-09-21,12200.0
2023-09-22,12200.0
2023-09-23,12200.0
2023-09-24,12200.0
2023-09-25,12200.0
2023-09-26,12200.0
2023-09-27,12200.0
2023-09-28,12200.0
2023-09-29,12200.0
2023-09-30,12200.0
2023-10-01,12200.0
2023-10-02,12200.0
2023-10-03,12200.0
2023-10-04,12200.0
2023-10-05,12000.0
2023-10-06,12100.0
2023-10-07,12200.0
2023-10-08,12200.0
2023-10-09,12200.0
2023-10-10,12200.0
2023-10-11,12200.0
2023-10-12,12200.0
2023-10-13,12200.0
2023-10-14,12200.0
2023-10-15,12200.0
2023-10-16,12200.0
2023-10-17,12200.0
2023-10-18,12200.0
2023-10-19,12500.0
2023-10-20,12500.0
2023-10-21,12500.0
2023-10-22,12200.0
2023-10-23,12500.0
2023-10-24,12500.0
2023-10-25,12500.0
2023-10-26,12500.0
2023-10-27,12500.0
2023-10-28,12500.0
2023-10-29,12500.0
2023-10-30,12500.0
2023-10-31,12500.0
2023-11-01,12500.0
2023-11-02,12500.0
2023-11-03,12500.0
2023-11-04,12500.0
2023-11-05,12500.0
2023-11-06,12500.0
2023-11-07,12500.0
2023-11-08,12500.0
2023-11-09,12500.0
2023-11-10,12500.0
2023-11-11,12500.0
2023-11-12,12500.0
2023-11-13,12500.0
2023-11-14,12500.0
2023-11-15,12500.0
2023-11-16,12500.0
2023-11-17,12500.0
2023-11-18,12500.0
2023-11-19,12500.0
2023-11-20,12500.0
2023-11-21,12500.0
2023-11-22,12500.0
2023-11-23,12500.0
2023-11-24,12500.0
2023-11-25,12500.0
2023-11-26,12500.0
2023-11-27,12500.0
2023-11-28,12500.0
2023-11-29,12500.0
2023-11-30,12500.0
2023-12-01,12500.0
2023-12-02,12500.0
2023-12-03,12500.0
2023-12-04,12500.0
2023-12-05,12500.0
2023-12-06,12500.0
